package	version	architecture	installed_size_kib	match
libalgorithm-diff-xs-perl	0.04-9	arm64	94	exact
libalgorithm-merge-perl	0.08-5	all	43	exact
libapparmor1:arm64	4.1.0-1	arm64	163	exact
libapt-pkg7.0:arm64	3.0.3	arm64	3643	exact
libasan8:arm64	14.2.0-19	arm64	10515	exact
libasound2-data	1.2.14-1+rpt1	all	200	exact
libasound2t64:arm64	1.2.14-1+rpt1	arm64	1269	exact
libassuan9:arm64	3.0.2-2	arm64	184	exact
libatasmart4:arm64	0.19-5+b2	arm64	86	exact
libatomic1:arm64	14.2.0-19	arm64	81	exact
libatopology2t64:arm64	1.2.14-1+rpt1	arm64	153	exact
libattr1:arm64	1:2.5.2-3	arm64	100	exact
libaudit-common	1:4.0.2-2	all	25	exact
libaudit1:arm64	1:4.0.2-2+b2	arm64	223	exact
libavahi-common-data:arm64	0.8-16	arm64	760	exact
libavahi-common3:arm64	0.8-16	arm64	112	exact
libavahi-core7:arm64	0.8-16	arm64	312	exact
libb2-1:arm64	0.98.1-1.1+b2	arm64	88	exact
libbabeltrace1:arm64	1.5.11-4+b2	arm64	772	exact
libbinutils:arm64	2.44-3	arm64	3037	exact
libblkid1:arm64	2.41-5	arm64	518	exact
libblockdev-crypto3:arm64	3.3.0-2.1	arm64	89	exact
libblockdev-fs3:arm64	3.3.0-2.1	arm64	155	exact
libblockdev-loop3:arm64	3.3.0-2.1	arm64	87	exact
libblockdev-mdraid3:arm64	3.3.0-2.1	arm64	88	exact
libblockdev-nvme3:arm64	3.3.0-2.1	arm64	88	exact
libblockdev-part3:arm64	3.3.0-2.1	arm64	87	exact
libblockdev-swap3:arm64	3.3.0-2.1	arm64	87	exact
libblockdev-utils3:arm64	3.3.0-2.1	arm64	88	exact
libblockdev3:arm64	3.3.0-2.1	arm64	305	exact
libbluetooth3:arm64	5.82-1.1+rpt1	arm64	337	exact
libboost-filesystem1.83.0:arm64	1.83.0-4.2	arm64	2339	exact
libboost-log1.83.0	1.83.0-4.2	arm64	4007	exact
libboost-program-options1.83.0:arm64	1.83.0-4.2	arm64	2595	exact
libboost-thread1.83.0:arm64	1.83.0-4.2	arm64	2339	exact
libbpf1:arm64	1:1.5.0-3	arm64	488	exact
libbrotli1:arm64	1.1.0-2+b7	arm64	930	exact
libbsd0:arm64	0.12.2-2	arm64	262	exact
libbytesize-common	2.11-2	all	120	exact
libbytesize1:arm64	2.11-2	arm64	82	exact
libbz2-1.0:arm64	1.0.8-6	arm64	92	exact
libc-bin	2.41-12+rpt1	arm64	2248	exact
libc-dev-bin	2.41-12+rpt1	arm64	165	exact
libc-l10n	2.41-12+rpt1	all	4738	exact
libc6:arm64	2.41-12+rpt1	arm64	23832	exact
libc6-dev:arm64	2.41-12+rpt1	arm64	10302	exact
libcamera-ipa:arm64	0.6.0+rpt20251202-1	arm64	5073	exact
libcamera0.6:arm64	0.6.0+rpt20251202-1	arm64	2255	exact
libcap-ng0:arm64	0.8.5-4+b1	arm64	154	exact
libcap2:arm64	1:2.75-10+b1	arm64	160	exact
libcap2-bin	1:2.75-10+b1	arm64	303	exact
libcbor0.10:arm64	0.10.2-2	arm64	98	exact
