package	version	architecture	installed_size_kib	match
python3-apt	3.0.0	arm64	774	exact
python3-arrow	1.3.0-1.1	all	313	exact
python3-attr	25.3.0-1	all	268	exact
python3-babel	2.17.0-1	all	519	exact
python3-bcrypt	4.2.0-2.1+b1	arm64	555	exact
python3-blinker	1.9.0-1	all	45	exact
python3-certifi	2025.1.31+ds-1	all	41	exact
python3-cffi-backend:arm64	1.17.1-3	arm64	298	exact
python3-chardet	5.2.0+dfsg-2	all	1141	exact
python3-charset-normalizer	3.4.2-1	arm64	570	exact
python3-colorzero	2.0-4	all	115	exact
python3-configobj	5.0.9-1	all	162	exact
python3-cryptography	43.0.0-3	arm64	3574	exact
python3-dateutil	2.9.0-4	all	324	exact
python3-debconf	1.5.91	all	19	exact
python3-distro	1.9.0-1	all	83	exact
python3-fqdn	1.5.1-2	all	30	exact
python3-gpiozero	2.0.1-0+rpt1+trixie	all	680	exact
python3-idna	3.10-1	all	371	exact
python3-isoduration	20.11.0+git20211126.ae0bd61-2	all	58	exact
python3-jinja2	3.1.6-1	all	532	exact
python3-json-pointer	2.4-3	all	45	exact
python3-jsonpatch	1.32-5	all	58	exact
python3-jsonschema	4.19.2-6	all	485	exact
python3-jsonschema-specifications	2023.12.1-2	all	81	exact
python3-jwt	2.10.1-2	all	116	exact
python3-lgpio	0.2.2-1~rpt1+trixie	arm64	324	exact
python3-libgpiod	2.2.1-2+deb13u1	arm64	186	exact
python3-linkify-it	2.0.3-1	all	79	exact
python3-markdown-it	3.0.0-3	all	287	exact
python3-markupsafe	2.1.5-1+b4	arm64	105	exact
python3-mdurl	0.1.2-1	all	42	exact
python3-minimal	3.13.5-1	arm64	112	exact
python3-netplan	1.1.2-7+rpt1	arm64	193	exact
python3-oauthlib	3.2.2-3	all	562	exact
python3-pip-whl	25.1.1+dfsg-1	all	1531	exact
python3-pycryptodome	3.20.0+dfsg-3	arm64	5738	exact
python3-pygments	2.18.0+dfsg-2	all	4521	exact
python3-referencing	0.36.2-1	all	139	exact
python3-requests	2.32.3+dfsg-5	all	241	exact
python3-rfc3339-validator	0.1.4-2	all	23	exact
python3-rfc3986-validator	0.1.1-2	all	28	exact
python3-rfc3987	1.3.8-3	all	47	exact
python3-rich	13.9.4-1	all	1072	exact
python3-rpds-py	0.21.0-2+b1	arm64	736	exact
python3-rpi-lgpio	0.6-0~rpt1+trixie	all	58	exact
python3-setuptools-whl	78.1.1-0.1	all	1324	exact
python3-smbus2	0.4.3-1	arm64	56	exact
python3-spidev	3.6-1+b6	arm64	93	exact
python3-typeshed	0.0~git20241223.ea91db2-1	all	14753	exact
python3-uc-micro	1.0.3-1	all	43	exact
python3-uritemplate	4.1.1-3	all	48	exact
python3-urllib3	2.3.0-3	all	470	exact
python3-venv	3.13.5-1	arm64	6	exact
python3-webcolors	1.13-1	all	66	exact
python3-yaml	6.0.2-1+b2	arm64	552	exact
python3.13	3.13.5-2	arm64	830	exact
python3.13-minimal	3.13.5-2	arm64	6613	exact
python3.13-venv	3.13.5-2	arm64	27	exact
raspberrypi-archive-keyring	2025.1+rpt1	all	28	exact
raspberrypi-net-mods	1.4.4	all	16	exact
raspberrypi-sys-mods	1:20251028+1	arm64	107	exact
raspi-config	20251202	all	32	exact
raspi-config-core	20251202	all	145	exact
raspi-firmware	1:1.20250915-1	all	22142	exact
raspi-utils	20251120-1	all	13	exact
raspi-utils-core	20251120-1	arm64	306	exact
raspi-utils-dt	20251120-1	arm64	236	exact
raspi-utils-eeprom	20251120-1	arm64	153	exact
raspi-utils-otp	20251120-1	all	20	exact
raspinfo	20251120-1	all	21	exact
readline-common	8.2-6	all	89	exact
retry	1.0.5-3+b1	arm64	86	exact
rfkill	2.41-5	arm64	127	exact
rpcsvc-proto	1.4.3-1+b1	arm64	283	exact
rpi-cloud-init-mods	1:20251114	all	21	exact
rpi-connect-lite	2.6.1	arm64	20376	fallback
rpi-eeprom	28.9-1	all	54608	fallback
rpi-keyboard-config	1.0	all	188	exact
rpi-keyboard-fw-update	1.0.1	all	1001	exact
rpi-loop-utils	1.2.1	all	29	exact
rpi-swap	1.2.1	all	60	exact
rpi-systemd-config	1.1.1	all	27	exact
rpi-update	20230904	all	31	exact
rpi-usb-gadget	1.0.6	arm64	107	exact
rpicam-apps-core	1.10.1-1	arm64	1015	fallback
rpicam-apps-lite	1.10.1-1	all	11	fallback
rsync	3.4.1+ds1-5	arm64	893	exact
runit-helper	2.16.4	all	21	exact
sed	4.9-2+b1	arm64	996	exact
sensible-utils	0.0.25	all	63	exact
sgml-base	1.31+nmu1	all	65	exact
shared-mime-info	2.4-5+b2	arm64	5195	exact
sq	1.3.1-2+b1	arm64	19787	exact
sqv	1.3.0-3	arm64	1630	exact
ssh	1:10.0p1-7	all	152	exact
ssh-import-id	5.10-3	all	48	exact
strace	6.13+ds-1	arm64	2728	exact
sudo	1.9.16p2-3	arm64	7061	exact
systemd	257.9-1~deb13u1	arm64	13333	exact
systemd-sysv	257.9-1~deb13u1	arm64	96	exact
systemd-timesyncd	257.9-1~deb13u1	arm64	254	exact
systemd-zram-generator	1.2.1-2	arm64	741	exact
sysvinit-utils	3.14-4	arm64	196	exact
tar	1.35+dfsg-3.1	arm64	3105	exact
tzdata	2025b-4+deb13u1	all	1357	exact
ucf	3.0052	all	148	exact
udev	257.9-1~deb13u1	arm64	10437	exact
udisks2	2.10.1-12.1+deb13u1	arm64	2926	exact
unzip	6.0-29	arm64	495	exact
usb-modeswitch	2.6.1-4+b2	arm64	186	exact
usb-modeswitch-data	20191128-7	all	92	exact
usbutils	1:018-2	arm64	426	exact
userconf-pi	0.15	all	35	exact
util-linux	2.41-5	arm64	7453	exact
uuid	1.6.4-1	arm64	97	exact
v4l-utils	1.30.1-1	arm64	2992	exact
vim-common	2:9.1.1230-2	all	1864	exact
vim-tiny	2:9.1.1230-2	arm64	1948	exact
wget	1.25.0-2	arm64	3780	exact
whiptail	0.52.25-1	arm64	97	exact
wireless-regdb	2025.07.10-1	all	38	exact
wireless-tools	30~pre9-18+b1	arm64	549	exact
wpasupplicant	2:2.10-24	arm64	3914	exact
xauth	1:1.1.2-1.1	arm64	97	exact
xdg-user-dirs	0.18-2	arm64	415	exact
xkb-data	2.42-1	all	6911	exact
xml-core	0.19	all	114	exact
xz-utils	5.8.1-1	arm64	1500	exact
zip	3.0-15	arm64	803	exact
zlib1g:arm64	1:1.3.dfsg+really1.3.1-1+b1	arm64	181	exact
zstd	1.5.7+dfsg-1	arm64	2112	exact
